Gene,H3K4me3_peak_width,H3K4me2_peak_width,H3K4me1_peak_width,H3K27ac_peak_width,H3K36me3_peak_width,H3K9ac_peak_width,H3K27me3_peak_width,H3K9me2_peak_width,H3K9me3_peak_width,H3K79me2_peak_width,H4K20me1_peak_width,super_enhancer_percentage,promoter_hypermethylation_in_cancer,gene_body_hypermethylation_in_cancer,S50_score,log_gene_length,gene_phyloP100way_score,gene_phastCons100way_score,exon_phyloP100way_score,exon_phastCons100way_score,gene_GC_content,exon_GC_content,SINE_number_per_kb,LINE_number_per_kb,LTR_number_per_kb,Satellite_number_per_kb,location_in_CDT,k-mer,Gene_expression_logFC,tissue_specificity,secondary_structure_MFE,secondary_structure_paired_GC_proportion,secondary_structure_paired_proportion,secondary_structure_information,screen_score,small_protein_number,small_protein_length_coverage,mRNA_centrality,miRNA_centrality,protein_centrality,exon_mutation_odds_ratio,RNAsnp_score,CADD_score,cnv
ENSG00000130600.21_12,-0.005299893478191642,-0.0021672135485293286,0.0016738221912691643,0.005987899940525276,0.00996790970442758,-0.0006010336469354838,-0.008515879082797556,0.0032134494839792414,0.0016143575104497654,0.012124441806267178,-0.007368233716838496,0.007151290387046605,3.4211244218912415e-05,0.011916698780063123,-0.007736871157610575,0.01721635157278379,0.01201794322938175,-0.006710159929249848,-0.0037471945023025257,0.014426004738686127,0.02528536672804521,0.004482218301663621,0.008638510718932263,-0.0025373948293461847,-0.005845416812181781,0.0,-0.005637963703754962,0.011459686371532002,0.2880968009142456,0.004964527611951508,0.1139116760279679,0.02238117264155658,0.0014284937490359583,0.007236269037690052,0.03365754890687288,-0.00014991153381349598,0.00045846320513834304,0.000591131168330955,0.013413660869340528,0.07959720706017397,0.012703815918006517,0.000512578544071346,0.03711126356100517,-0.00572550910845594
ENSG00000177133.14_12,-0.006291602089919829,-0.001156639476601451,0.004022234009206987,0.006593604245624163,0.01080768287088949,-0.0009063991556309825,0.030349033543326676,0.00557299473714482,0.0034615723745843098,-0.007426429040893928,0.020899442346977132,0.052625327757513454,-0.00017696939848792502,0.012649825686371918,0.00105448492283583,-0.007894565805485887,0.020396665494097348,-0.01022377719317379,0.02269660355197186,0.006878283629204607,0.027414432128214344,0.005406207261003782,0.005424342429981926,-0.0012215305558185396,-0.006901752097974246,0.0,0.009982633645512346,0.012832387261240363,0.11923200836683594,0.04574143967635988,0.11496245085852404,0.020536212737171777,0.008314325416768048,0.008001265858004352,-0.0017833590687998612,-0.0003659010488134107,0.0004345530469247849,0.010395745694229675,0.05632550359555057,0.06577519041160362,0.0191779282662373,0.0028346735610625894,0.02050682923400892,-0.006028266750604183
ENSG00000196668.4_7,-0.007248156324634031,0.004108185385163643,0.006780797891615009,0.010577647582470678,-0.00020566733688784367,0.009374423296411883,0.007910615585775332,0.0017145256821747723,0.0033754065043059443,-0.006150527707007758,-0.002832104070007757,0.0052953948950881236,-0.0014506378345448933,0.011990082933919732,-0.002315799479991482,0.024483291849875327,0.007892274468697929,0.01330902290772712,-0.004456882859866257,0.02060702834369855,-0.0018397436213129282,0.0018593866773464363,-0.009290323630897459,0.03958096759008534,-0.004211793369537836,0.0,-0.005892799513252977,0.01446233896398697,0.3936435657954084,0.007542099190200486,0.007164428847477905,0.005637959876605814,0.009682762415311708,0.002177449939902687,0.043562576892010416,-0.00021700814359006947,0.0003355794392396638,0.004543081260779314,0.04049654682236941,0.046721008013551044,-0.020805743754210633,-0.008099844227248364,0.018082181894469022,0.007656705935198488
ENSG00000203801.8_8,0.018952578577363332,0.002964130667127307,0.008041071981175915,0.020451079145448265,0.00976825695339294,-0.0006274838688523965,0.03737465498234676,0.0011384039697592719,0.007090327989744671,0.0014545631998108155,0.026870004489106446,-0.011786902270705817,0.0005993285669034176,0.022419486234009772,0.0016948386331865877,-0.020241137657073326,-0.024818404614679747,-0.009764221903106649,-0.0031009757882241697,0.019217712778369388,0.010943452669929687,0.0031894490070230154,0.0037484832428228143,0.0038602973184090673,0.013313694895687627,0.0,0.020823897785689778,0.022408030010079173,-0.03637837938823642,0.021181663015957503,0.07876073341898587,0.00795830672666994,0.017949641520676147,0.0069366897252019,-0.0027463147617144803,-1.0726288705648068e-05,0.0008914066484916883,0.011295605185569097,0.12074152518961481,0.15837726656254664,0.03622206300839037,0.025639626888277266,0.05326202030140964,0.002781390174997023
ENSG00000215483.12_14,-0.00911587074640613,0.01710490394390768,0.01780425846093931,0.009544937885885414,0.007178971711712351,0.013372064066014256,0.04261232375549844,-0.0014785303486402335,-0.00838333502335481,0.05333767078684566,0.026826429803909185,0.07571297907586602,0.004803804544792717,0.013888303814630437,0.0005639146354090186,-0.02086137323379974,-0.02006737799369962,-0.011246867537720567,-0.00010311830722563031,-0.0019045897372143906,0.005635799786537704,-0.0013826990527525784,0.005152951533544631,-0.006632464976098601,0.014619226648640876,0.0,0.01522474445871449,0.011153408995808384,0.006571446051302698,-0.002812713837200542,0.12055693667491049,-0.0022909588036498342,0.012035858209082506,-0.002461950247563849,-0.00247067851160932,0.005236162026422136,-0.002084391955809639,0.012783014312927892,0.15879128963919087,0.0959342889651019,0.019639359195191098,0.015153141426164618,0.01474478136061345,-0.0060905716447639535
ENSG00000223749.11_11,-0.008998680220622807,0.00400725476189655,0.004026928780958972,0.015623152184029548,0.019167821406620274,-0.0008176177427825171,-0.010227476902838466,0.004315775582652675,0.005832206840993931,0.035325755523920845,-0.01654760775878018,-0.012304214361087955,0.0005281633992849699,0.020445612563447412,0.001572210297351484,0.027738867085825108,0.00950193370898142,0.019146605020972568,-0.011072586581088756,0.01702415189416164,0.001249696929927774,-0.00035866266988537345,0.010902230771892308,-0.004028601405610716,-0.007057665346782749,0.0,0.014714499059580466,0.01665022239501541,0.026554161510651965,0.051812714916535205,0.10412864995899429,0.00025768730634098127,0.006276787339289341,-0.0056236258211676046,0.0425631556534294,-0.00013446260941709086,0.0007636655061450448,-0.01025301082088843,0.04789143277380526,0.17232009811116228,0.027544951954038045,-0.005550860094750265,0.06618779224371688,-0.028807221756033508
ENSG00000223768.4_9,-0.009472396957540114,0.003046490767077481,0.010925203190247196,0.004043504366746603,0.010423518772595165,0.006906683193575352,0.00987591987188811,0.002715892802645836,0.004196831003531265,0.031220628128471716,0.018970912526079804,0.006416964695656569,-0.0001655197362295413,0.011084151229609273,0.030484725481649138,-0.005729421441109006,0.013395982511603677,0.019942525459415467,0.01308395309085848,-0.008562179079833383,0.0020232040260829308,0.0011889480261828122,0.006073282917570216,-0.0021200536370612312,0.0080841465727657,0.0,-0.006256224828303453,0.006896843611565634,0.2186022797634854,-0.0396927707398981,0.12835692875515534,0.0027822516120056817,0.0076739721036538314,0.0004187798568725809,-0.0015680228467638778,-0.00019232917518469117,0.00037277259177962986,0.0051324470008520025,0.08459403539311683,0.09443216053362297,0.01706033987489968,-0.0032569017676545853,0.002463819133370848,-0.003524656526040637
ENSG00000224259.9_10,-0.006170562991947776,-8.247561478824105e-05,0.004701701588290424,0.010018178639089059,0.004531977397263987,-0.0011776648493762476,-0.00045461638675267646,-0.005940394377192343,0.006192534478722311,0.040941834344260034,0.024777978216022317,0.09060810322971768,-4.447360004822265e-07,0.009289936478518206,0.012669045575421228,-0.017850545255058876,0.02166801139593335,-0.00044310007281615494,0.025846105454820068,-0.00908433317341476,0.007822932939587635,8.92571869523684e-05,-0.0033093403319460644,0.002851904799707661,0.008309299845405294,0.0,-0.008730168108130099,0.004050908241402779,0.12603742532741768,-0.0012817142202500408,0.09531195635625986,0.0006819128002585439,0.004729313018566739,-2.3937821722802566e-05,-0.0022048776719849617,-0.0002864080289800175,0.0005480943334296052,0.005407105056089256,0.10880152337543221,0.06432989800569779,-0.0026482373035077557,0.008619054306854435,0.0036805462645736475,0.06554717411217106
ENSG00000225470.9_9,-0.010712623009656164,0.01367513650608857,0.01605845433307581,0.003154121103188817,0.007459157119496121,0.011419352324647613,0.022185014044834195,-0.0021984153369952963,-0.0064047005258228065,0.03748682627969695,0.031781555934430904,-0.00786180251046093,-0.0003150104293536127,0.012295305887140118,0.0028304653515035584,-0.014432410717331368,0.0006095223540199868,0.015759238335238103,-0.002868917181672376,0.014203460046100102,0.0006286494071072679,0.008233941714613882,0.0028592449733209568,0.02544380679561291,0.010709338536682284,0.0,0.010090010327632187,-0.005573109296831668,0.19922982759099134,-0.0373530002831032,0.11639895835178363,0.002617874255919239,-0.0019715093255805727,0.0010975586667071103,-0.002106003283758806,0.0033656643942879204,0.00011365256133247792,0.013482026437875345,0.1259440697693497,0.11293859310856702,-0.02239485627431545,-0.004774742995043169,0.012311980364885528,-0.016852134333806883
ENSG00000228100.2_9,0.014069918486739386,-0.0034578739430710715,-0.0028242088085303485,-0.002872458668858063,0.0018361865802329568,-0.001110505281277868,0.011158161088068674,0.004316754538487783,0.010113925878932473,-0.0076896692612431925,0.0033221346670164243,-0.00983065363976815,0.00037505879759139327,0.016447366138577574,0.09354822827518726,0.04025782574461616,0.047376131367539064,0.05468766516494479,0.03259857598856948,1.938003868968141e-05,0.001004133236608734,0.005662538428907607,0.011041036619071382,0.039448400507358206,-0.00015669116455010456,0.0,0.016168751892756583,0.018970331785434526,0.12404581313684229,0.12175824317714856,-0.05199142293945256,-0.0015519931159547085,0.007610757045488833,-0.003076263595064338,-0.0021985097071717473,-0.0005054050202783101,0.00045093602383485253,0.0008091079313540306,0.014226877887780298,0.017870760509606433,0.02742046747336941,0.019077252303982883,-0.0015898240018566434,0.025556473148678288
